CID,Block,Treatment,Date.hatch,Date.4th,Mass.4th,Date.5th,Mass.5th,Date.pupate,Date.cup,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,Sex,Emerge.ok,Date.dead,Mass.int,DaysHtoP,DaysPtoE
001,1,16,6/23/2023,7/3/2023,10.45,7/6,31.31,7/12/2023,,,no,,,,,,155.77,19,
002,1,21,6/27/2023,7/3/2023,6.52,7/6,25.53,7/12/2023,7/14,189.72,yes,7/23,98.76,male,yes,,,15,11
003,1,30,6/27/2023,7/3/2023,7.41,7/9/2023,28.41,7/15/2023,7/17/2023,141.71,yes,7/22,62.62,female,yes,,,18,7
004,1,34,6/27/2023,7/3/2023,8,7/6,31.73,7/11,7/13,177.19,yes,,,,,7/19/2023,,14,
005,1,16,6/25/2023,7/3/2023,13.84,7/7/2023,25.47,7/12,7/14,131.79,yes,8/7,73.35,female,yes,,,17,26
006,1,21,6/25/2023,7/3/2023,7.83,7/6,28.01,7/11,7/13,,yes,7/22,79.02,female,yes,,,16,11
007,1,30,6/27/2023,7/3/2023,6.84,7/7/2023,31.32,7/12/2023,7/14,188.61,yes,7/19/2023,92.47,male,yes,,,15,7
008,1,34,6/27/2023,,,7/4/2023,29.84,7/9/2023,7/11/2023,187.91,yes,,,,,7/20/2023,47.87,12,
009,1,16,6/27/2023,7/3/2023,11.63,7/7/2023,48.4,7/12/2023,,,no,,,,,,203.49,15,
010,1,21,6/27/2023,7/3/2023,11.51,7/7/2023,19.77,7/12/2023,7/14,141.95,yes,7/23,88.86,male,yes,,,15,11
011,1,30,6/27/2023,7/3/2023,15.97,7/5/2023,32.11,7/10,7/12,156.97,yes,7/17/2023,107.98,female,,,,13,7
013,1,16,6/27/2023,7/4/2023,9.84,7/7/2023,32.8,7/12/2023,7/14,175.75,yes,7/30,127.39,female,yes,,,15,18
014,1,21,6/29/2023,7/4/2023,10.48,7/7/2023,23.75,7/13/2023,7/15/2023,152.39,yes,7/23,80.78,male,yes,,,14,10
015,1,30,6/23/2023,7/4/2023,6.36,7/8,25.92,7/15/2023,7/17/2023,167.22,yes,,,,no,7/22,,22,
016,1,34,6/23/2023,7/4/2023,15.14,7/7/2023,53.23,7/12/2023,7/14,129.72,yes,,,,,7/16/2023,,19,
017,1,16,6/25/2023,7/5/2023,12.11,7/10,64.05,7/14,7/16,198.55,yes,7/31/2023,152.25,female,yes,,,19,17
018,1,21,6/25/2023,7/5/2023,8.44,7/9/2023,33.42,7/14,7/16,158.57,yes,7/25/2023,73.51,female,yes,,,19,11
019,1,30,6/25/2023,7/5/2023,11.92,7/9/2023,32.53,7/15/2023,7/17/2023,169.47,yes,,,,no,7/22,,20,
020,1,34,6/27/2023,7/5/2023,12.59,7/9/2023,38.91,7/14,7/16,159.89,yes,,,,,7/23,,17,
022,1,21,6/27/2023,7/5/2023,7.03,7/9/2023,42.39,7/13/2023,7/15/2023,178.67,yes,7/24,110.93,male,yes,,,16,11
023,1,30,6/27/2023,7/5/2023,10.05,7/9/2023,61.83,7/13/2023,7/15/2023,140.58,yes,7/20/23,92.4,female,yes,,,16,7
024,1,34,6/29/2023,7/5/2023,10.73,7/8,30.45,7/13/2023,7/15/2023,203.27,yes,,,,,7/24,,14,
025,1,16,6/27/2023,7/5/2023,6.72,7/9/2023,39.98,7/14,7/16,151.55,yes,7/31/2023,80.24,female,yes,,,17,17
026,1,21,6/29/2023,7/5/2023,9.12,7/8,29.59,7/13/2023,7/15/2023,154.26,yes,7/24,122.78,female,yes,,,14,11
027,1,30,6/29/2023,7/5/2023,6.84,7/10,58.11,7/14,7/16,179.61,yes,7/21/23,87.42,female,yes,,,15,7
028,1,34,6/29/2023,7/6/2023,5.52,7/11,32.14,7/16/2023,7/18/2023,203.01,yes,,,,no,7/25/2023,,17,
029,1,16,6/29/2023,7/6/2023,7.22,7/10,42.74,7/14,7/16,173.68,yes,8/1/2023,81.24,male,yes,,,15,18
030,1,21,6/29/2023,7/6/2023,8.75,7/10,39.16,7/15/2023,7/17/2023,166.03,yes,7/26/2023,85.32,male,yes,,,16,11
031,1,30,6/29/2023,7/7/2023,12.14,7/11,31.45,7/16/2023,7/18/2023,173.93,yes,7/23,129.19,male,no,,,17,7
032,1,34,6/29/2023,7/7/2023,8.43,7/12,41.69,7/17/2023,7/19/23,195.33,yes,7/25/2023,115.95,male,yes,,,18,8
033,1,16,6/29/2023,7/7/2023,12.16,7/10,35.61,7/16/2023,7/18/2023,176.52,yes,8/3,84.03,male,no,,,17,18
034,1,21,6/29/2023,7/7/2023,17.42,7/10,41.95,7/15/2023,7/17/2023,166.68,yes,7/28/2023,191.73,male,no,,,16,13
035,1,30,6/28/2023,7/7/2023,11.84,7/11,45.17,7/15/2023,7/17/2023,141.14,yes,,,,,7/23,,17,
037,1,16,6/27/2023,7/7/2023,,7/10,33.02,7/15/2023,7/17/2023,199.54,yes,,,,,7/30,,18,
038,1,21,6/29/2023,7/8/2023,7.66,7/13/2023,39.51,7/19/2023,7/21/2023,,no,,,,,7/19/2023,146.46,20,
039,1,30,6/28/2023,7/8/2023,13.94,7/11,62.92,7/16/2023,7/18/2023,204.66,yes,7/23,108.21,female,yes,,,18,7
040,1,34,6/28/2023,7/8/2023,8.24,7/12/2023,36.52,7/16/2023,7/18/2023,184.18,yes,,,,,7/25/2023,,18,
041,1,16,6/29/2023,7/8/2023,8.72,7/11,45.24,7/15/2023,7/17/2023,197.54,yes,,,,,8/3,,16,
042,1,21,6/29/2023,7/8/2023,8.01,7/13/2023,35.71,7/17/2023,7/19/2023,188.17,yes,7/27/2023,152.88,male,yes,,,18,10
043,1,30,6/29/2023,7/8/2023,9.1,7/12,45.74,7/17/2023,7/19/2023,231.77,yes,7/24,122.75,male,yes,,,18,7
044,1,34,6/29/2023,7/8/2023,9.62,7/11,34.47,7/17/2023,7/19/2023,,no,,,,,7/19/2023,136.12,18,
045,1,16,6/29/2023,7/8/2023,10.46,7/12,36.73,7/17/2023,7/19/2023,194.68,yes,8/3,104.65,female,yes,,,18,17
046,1,21,6/25/2023,7/8/2023,9.41,7/13/2023,21.77,7/19/2023,7/21/2023,127.68,yes,7/30,84.31,female,yes,,,24,11
047,1,30,6/30/2023,7/8/2023,16.46,7/10,38.44,7/14,7/16,145.47,yes,7/21/23,71.16,male,yes,,,14,7
048,1,34,6/30/2023,7/9/2023,19.5,7/11,40.62,7/16/2023,7/18/2023,,no,,,,,7/16/2023,154.02,16,
049,1,16,6/29/2023,7/9/2023,14.32,7/12/2023,35.96,7/17/2023,7/19/2023,205.97,yes,8/3,118.12,male,yes,,,18,17
050,1,21,6/29/2023,7/9/2023,10.08,7/12,32.37,7/19/2023,7/21/2023,111.26,yes,7/30,59.21,female,yes,,,20,11
051,1,30,6/29/2023,7/9/2023,10.99,7/12/2023,32.11,7/17/2023,7/19/2023,194.67,yes,7/24,100.79,female,yes,,,18,7
052,1,34,6/29/2023,7/9/2023,9.92,7/13/2023,68.15,7/17/2023,7/19/2023,176.97,yes,7/25/2023,86.76,male,yes,,,18,8
053,1,16,6/30/2023,7/10/2023,9.86,7/13/2023,35.09,7/18/2023,7/20/2023,240.26,yes,8/4,226.51,male,no,,,18,17
054,2,21,7/27/2023,8/1/2023,8.38,8/4,30.21,8/9,8/11,155.51,yes,8/20,75.4,female,yes,,,13,11
055,2,30,7/27/2023,8/1/2023,7.04,8/4,51.78,8/8/2023,8/10/23,,yes,8/15/2023,62.31,male,yes,,,12,7
056,2,34,7/27/2023,8/1/2023,8.73,8/3,31.48,8/7,8/9,145.8,yes,8/15/2023,116.1,male,no,,,11,8
057,2,16,7/27/2023,8/1/2023,7.16,8/4,47.98,8/8/2023,8/10/23,193.7,yes,8/23/2023,103.67,female,yes,,,12,15
058,2,21,7/27/2023,8/2/2023,12.36,8/4,44.01,8/9,8/11,173.38,yes,8/21/2023,73.52,male,yes,,,13,12
059,2,30,7/27/2023,8/2/2023,8.52,8/6,38.82,8/10/23,8/12,137.96,yes,8/17,80.25,female,no,,,14,7
060,2,34,7/27/2023,8/2/2023,9.33,8/7,84.68,8/12,8/14,178.95,yes,8/19/2023,127.05,female,no,,,16,7
062,2,21,7/27/2023,8/3/2023,8.58,8/7,36.1,8/12,8/14,192.73,yes,8/23/2023,106.8,female,yes,,,16,11
063,2,30,7/27/2023,8/4/2023,9.2,8/7,40.46,8/12,8/14,158.06,yes,8/18,77.17,female,yes,,,16,6
064,2,34,7/27/2023,8/4/2023,9.13,8/7,32.97,8/12,8/14,181.73,yes,8/20,133.71,female,no,,,16,8
065,2,16,7/27/2023,8/5/2023,9.84,8/9,70.47,8/14,8/16,146.87,yes,8/28/2023,59.9,male,yes,,,18,14
066,2,21,7/27/2023,8/5/2023,12.47,8/8/2023,68.78,8/12,8/14,196.58,yes,8/23/2023,104.9,male,yes,,,16,11
067,2,30,7/27/2023,8/5/2023,10.87,8/8/2023,29.84,8/14,8/16,116.97,yes,8/20,56.05,male,no,,,18,6
068,2,34,7/27/2023,8/5/2023,7.28,8/9,28.99,8/14,8/16,143.9,yes,8/22/2023,55.05,female,yes,,,18,8
069,2,16,8/3/2023,8/9/2023,10.4,8/12,31.61,8/17,8/19,178.58,yes,9/4/2023,75.61,female,yes,,,14,18
070,2,21,8/3/2023,8/9/2023,8.3,8/14,56.7,8/18,8/20,153.51,yes,8/29/2023,62.3,female,yes,,,15,11
071,2,30,8/3/2023,,,8/12,54.31,8/15/2023,8/17/2023,126.72,yes,8/21/2023,63.25,female,yes,,,12,6
075,2,30,8/5/2023,8/14/2023,20.89,8/17,48.94,8/22/2023,,,no,,,,,8/22/2023,117.6,17,
078,2,21,8/3/2023,8/15/2023,9.6,8/19/2023,30.88,8/25/2023,8/27/2023,168.2,yes,9/5/2023,91.44,female,yes,,,22,11