CID,SIB,Mean.Temp,Temp.Var,UniID,Date.hatch,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,PupateOk,Surv.eclose,Date.eclose,Time.eclose,EcloseOk,Sex,Mass.adult,Date.dead,Time.death,Stage.final,Notes
94,8,26,5,94.8.26.5,5/9,,5/15,6,12.3,,5/17,8,41.6,,5/23,14,186.3,N,,,,,,,5/23,14,pupal int,
97,8,26,5,97.8.26.5,5/9,,5/15,6,23.3,,5/17,8,86.4,,5/23,14,186,N,,,,,,,5/23,14,pupal int,
115,8,30,5,115.8.30.5,5/9,,5/15,6,11.4,,5/17,8,52.4,,5/22,13,214.6,N,,,,,,,5/22,13,pupal int,
125,8,26,5,125.8.26.5,5/9,,5/16,7,16.5,,5/18,9,75.2,,5/23,14,211.7,N,,,,,,,5/23,14,pupal int,
138,15,26,5,138.15.26.5,5/10,,5/16,6,8.6,,5/18,8,50.6,,5/23,13,211.2,N,,,,,,,5/23,13,pupal int,
141,15,30,5,141.15.30.5,5/10,,5/16,6,27.2,,5/17,7,47.5,,5/22,12,184.3,N,,,,,,,5/22,12,pupal int,Spent 5/13 in 26 chamber
145,15,30,5,145.15.30.5,5/11,,5/16,5,7.4,,5/18,7,39.4,,5/22,11,181.7,N,,,,,,,5/22,11,pupal int,
155,12,26,5,155.12.26.5,5/10,,5/17,7,9.3,,5/21,11,167.8,,5/25,15,189.7,N,,,,,,,5/25,15,pupa int ,missed 5th?
190,15,26,5,190.15.26.5,5/10,,5/18,8,11.2,,5/21,11,97.7,,5/24,14,188.8,N,,,,,,,5/24,14,pupa int ,
225,M1,30,5,225.M1.30.5,5/14,,5/19,5,7.7,,5/21,7,43.8,,5/25,11,141.6,N,,,,,,,5/25,11,pupa int ,
227,M1,30,5,227.M1.30.5,5/14,,5/19,5,6.4,,5/21,7,32.4,,5/25,11,128.7,N,,,,,,,5/25,11,pupa int ,
128,12,26,5,128.12.26.5,5/10,,5/16,6,9.5,,5/19,9,80.2,,5/25,15,242.5,N,,,,,,,5/25,15,pupa int,
185,M1,26,5,185.M1.26.5,5/11,,5/18,7,8.2,,5/21,10,58.1,,5/26,15,193.4,N,,,,,,,5/26,15,pupa int,
187,8,26,5,187.8.26.5,5/10,,5/18,8,13.1,,5/21,11,41.8,,5/25,15,166.2,N,,,,,,,5/25,15,pupa int,
193,8,21,5,193.8.21.5,5/9,,5/18,9,10.1,,5/21,12,44.2,,5/29,20,213.1,N,,,,,,,5/29,20,pupa int,
194,8,21,5,194.8.21.5,5/9,,5/18,9,11.9,,5/21,12,49.7,,5/27,18,180.2,N,,,,,,,5/27,18,pupa int,
204,8,34,5,204.8.34.5,5/11,,5/18,7,15,,5/20,9,42,,5/25,14,113.4,N,,,,,,,5/25,14,pupa int,
210,M1,26,5,210.M1.26.5,5/14,,5/19,5,8.5,,5/21,7,33.9,,5/25,11,166.7,N,,,,,,,5/25,11,pupa int,
214,12,34,5,214.12.34.5,5/10,,5/19,9,9.2,,5/23,13,37.4,,5/27,17,110,N,,,,,,,5/27,17,pupa int,
217,12,30,5,217.12.30.5,5/14,,5/19,5,7.3,,5/21,7,41.2,,5/27,13,199.5,N,,,,,,,5/27,13,pupa int,
218,12,30,5,218.12.30.5,5/14,,5/19,5,8.3,,5/21,7,47.7,,5/25,11,182.3,N,,,,,,,5/25,11,pupa int,
221,12,30,5,221.12.30.5,5/14,,5/19,5,22.8,,5/20,6,44.1,,5/26,12,257.9,N,,,,,,,5/26,12,pupa int,
224,M1,30,5,224.M1.30.5,5/13,,5/19,6,10.7,,5/21,8,55.7,,5/25,12,151.8,N,,,,,,,5/25,12,pupa int,
230,8,21,5,230.8.21.5,5/9,,5/19,10,14.2,,5/22,13,61.1,,5/30,21,209.4,N,,,,,,,5/30,21,pupa int,
232,8,21,5,232.8.21.5,5/9,,5/19,10,6.2,,5/23,14,36.7,,5/31,22,180.5,N,,,,,,,5/31,22,pupa int,
235,M1,30,5,235.M1.30.5,5/14,,5/20,6,12.5,,5/22,8,52.22,,5/26,12,160.4,N,,,,,,,5/26,12,pupa int,
236,M1,30,5,236.M1.30.5,5/14,,5/20,6,17.5,,5/22,8,58.33,,5/26,12,173,N,,,,,,,5/26,12,pupa int,
239,12,30,5,239.12.30.5,5/14,,5/20,6,16.4,,5/22,8,72.62,,5/26,12,200.4,N,,,,,,,5/26,12,pupa int,
253,M1,34,5,253.M1.34.5,5/13,,5/20,7,14.5,,5/24,11,61.2,,5/29,16,136.7,N,,,,,,,5/29,16,pupa int,
256,8,21,5,256.8.21.5,5/11,,5/20,9,7.1,,5/24,13,33.6,,6/1,21,199.4,N,,,,,,,6/1,21,pupa int,
257,8,21,5,257.8.21.5,5/11,,5/20,9,9.7,,5/23,12,40.1,,5/31,20,216.1,N,,,,,,,5/31,20,pupa int,
258,8,21,5,258.8.21.5,5/11,,5/20,9,9.3,,5/23,12,36.8,,5/31,20,183,N,,,,,,,5/31,20,pupa int,
259,8,21,5,259.8.21.5,5/9,,5/20,11,15.6,,5/23,14,41.9,,5/31,22,243.9,N,,,,,,,5/31,22,pupa int,
260,8,21,5,260.8.21.5,5/9,,5/20,11,18.3,,5/23,14,39.1,,5/31,22,174,N,,,,,,,5/31,22,pupa int,
265,12,30,5,265.12.30.5,5/14,,5/21,7,12.9,,5/23,9,52.1,,5/28,14,230.8,N,,,,,,,5/28,14,pupa int,
266,M1,30,5,266.M1.30.5,5/14,,5/21,7,21.9,,5/23,9,67.5,,5/27,13,163.9,N,,,,,,,5/27,13,pupa int,
268,M1,26,5,268.M1.26.5,5/14,,5/21,7,20.3,,5/23,9,56.4,,5/27,13,187.5,N,,,,,,,5/27,13,pupa int,
269,M1,26,5,269.M1.26.5,5/14,,5/21,7,9.3,,5/24,10,31.5,,5/30,16,128.5,N,,,,,,,5/30,16,pupa int,
270,M1,26,5,270.M1.26.5,5/13,,5/21,8,36.4,,5/23,10,173.1,,5/25,12,169.4,N,,,,,,,5/25,12,pupa int,Missed 5th or 4th?
271,M1,26,5,271.M1.26.5,5/14,,5/21,7,34.9,,5/23,9,154.7,,5/26,12,204.1,N,,,,,,,5/26,12,pupa int,Missed 5th or 4th?
273,M1,26,5,273.M1.26.5,5/14,,5/21,7,32.9,,5/23,9,144.2,,5/25,11,155.3,N,,,,,,,5/25,11,pupa int,Missed 5th or 4th?
274,8,21,5,274.8.21.5,5/11,,5/21,10,10.9,,5/25,14,42.6,,6/1,21,142.3,N,,,,,,,6/1,21,pupa int,
275,3,21,5,275.3.21.5,5/12,,5/21,9,9.7,,5/25,13,39.8,,6/2,21,191.2,N,,,,,,,6/2,21,pupa int,
276,15,21,5,276.15.21.5,5/11,,5/21,10,10,,5/26,15,33.3,,6/3,23,147.8,N,,,,,,,6/3,23,pupa int,
277,15,21,5,277.15.21.5,5/11,,5/21,10,9,,5/26,15,55.2,,6/1,21,202.3,N,,,,,,,6/1,21,pupa int,
278,15,21,5,278.15.21.5,5/11,,5/21,10,12,,5/24,13,36.4,,5/30,19,191.7,N,,,,,,,5/30,19,pupa int,
283,12,26,5,283.12.26.5,5/15/22,,5/22,7,26.1,,5/24,9,60.2,,5/28,13,195.8,N,,,,,,,5/28,13,pupa int,
286,12,26,5,286.12.26.5,5/15/22,,5/22,7,28.5,,5/23,8,34,,5/28,13,187,N,,,,,,,5/28,13,pupa int,
287,M1,26,5,287.M1.26.5,5/14,,,,,,5/22,8,48.24,,5/27,13,214.2,N,,,,,,,5/27,13,pupa int,Missed 4th?
289,M3,26,5,289.M3.26.5,5/14,,,,,,5/22,8,47.85,,5/26,12,187.8,N,,,,,,,5/26,12,pupa int,Missed 4th?
290,m1,26,5,290.m1.26.5,5/14,,,,,,5/22,8,43.4,,5/26,12,162.7,N,,,,,,,5/26,12,pupa int,Missed 4th?
293,12,26,5,293.12.26.5,5/15,,5/22,7,16.52,,5/24,9,37.6,,5/31,16,209.2,N,,,,,,,5/31,16,pupa int,
300,m1,21,5,300.m1.21.5,5/14,,5/22,8,7.5,,5/27,13,38.7,,6/3,20,173.5,N,,,,,,,6/3,20,pupa int,
304,8,21,5,304.8.21.5,5/11,,5/22,11,7.08,,5/27,16,44.6,,6/4,24,231.2,N,,,,,,,6/4,24,pupa int,
306,12,34,5,306.12.34.5,5/14,,5/23,9,10.9,,5/27,13,61.3,,6/1,18,129.3,N,,,,,,,6/1,18,pupa int,
312,8,21,5,312.8.21.5,5/13,,5/23,10,9.9,,5/27,14,39.3,,6/4,22,212.7,N,,,,,,,6/4,22,pupa int,
315,8,21,5,315.8.21.5,5/11,,5/23,12,13.2,,5/27,16,58.2,,6/4,24,262.9,N,,,,,,,6/4,24,pupa int,
316,M1,21,5,316.M1.21.5,5/14,,5/24,10,10.6,,5/28,14,50.5,,6/4,21,180.1,N,,,,,,,6/4,21,pupa int,
317,M1,21,5,317.M1.21.5,5/14,,5/24,10,9.9,,5/27,13,30.4,,6/2,19,146.2,N,,,,,,,6/2,19,pupa int,
319,M1,21,5,319.M1.21.5,5/14,,5/24,10,9.9,,5/28,14,28.6,,6/5,22,147.2,N,,,,,,,6/5,22,pupa int,
321,M1,21,5,321.M1.21.5,5/13,,5/24,11,6.9,,5/29,16,45.4,,6/6,24,234,N,,,,,,,6/6,24,pupa int,
324,M1,21,5,324.M1.21.5,5/14,,5/25,11,8.2,,5/30,16,48.7,,6/6,23,164.4,N,,,,,,,6/6,23,pupa int,
325,M1,21,5,325.M1.21.5,5/14,,5/25,11,6.5,,5/30,16,58.3,,6/5,22,192.2,N,,,,,,,6/5,22,pupa int,
326,M1,21,5,326.M1.21.5,5/15,,5/25,10,10,,5/30,15,36.8,,6/7,23,212.1,N,,,,,,,6/7,23,pupa int,
327,M1,21,5,327.M1.21.5,5/15,,5/25,10,8.3,,5/29,14,43,,6/5,21,226,N,,,,,,,6/5,21,pupa int,
328,M1,21,5,328.M1.21.5,5/13,,5/25,12,10.8,,5/29,16,38,,6/5,23,201.6,N,,,,,,,6/5,23,pupa int,
330,M1,21,5,330.M1.21.5,5/14,,5/25,11,13.4,,5/29,15,46.4,,6/7,24,276,N,,,,,,,6/7,24,pupa int,
331,M1,21,5,331.M1.21.5,5/14,,5/25,11,14.8,,5/28,14,40.5,,6/5,22,210.3,N,,,,,,,6/5,22,pupa int,
332,15,16,5,332.15.16.5,5/13,,5/25,12,6.4,,6/2,20,41.7,,6/15,33,216,N,,,,,,,6/15,33,pupa int,
335,8,16,5,335.8.16.5,5/12,,5/26,14,13.4,,6/1,20,42,,6/15,34,200.5,N,,,,,,,6/15,34,pupa int,
336,3,21,5,336.3.21.5,5/15,,5/26,11,13.3,,5/30,15,44.2,,6/6,22,212.7,N,,,,,,,6/6,22,pupa int,
337,3,21,5,337.3.21.5,5/15,,5/26,11,6.5,,6/1,17,44.7,,6/9,25,196.3,N,,,,,,,6/9,25,pupa int,
338,3,21,5,338.3.21.5,5/15,,5/26,11,10.6,,5/30,15,44.9,,6/5,21,210.7,N,,,,,,,6/5,21,pupa int,
339,M1,21,5,339.M1.21.5,5/15,,5/26,11,11.3,,5/29,14,30.5,,6/5,21,158.6,N,,,,,,,6/5,21,pupa int,
340,M1,21,5,340.M1.21.5,5/14,,5/26,12,12.4,,5/30,16,43.3,,6/8,25,238.4,N,,,,,,,6/8,25,pupa int,
341,15,16,5,341.15.16.5,5/12,,5/27,15,8.9,,6/3,22,31.1,,6/15,34,180.2,N,,,,,,,6/15,34,pupa int,
342,M1,16,5,342.M1.16.5,5/14,,5/27,13,10.1,,6/3,20,38.4,,6/18,35,132.1,N,,,,,,,6/18,35,pupa int,
343,15,16,5,343.15.16.5,5/12,,5/27,15,12.8,,6/2,21,44.9,,6/14,33,218.6,N,,,,,,,6/14,33,pupa int,
346,M1,16,5,346.M1.16.5,5/14,,5/27,13,8.1,,6/3,20,26.7,,6/15,32,152.2,N,,,,,,,6/15,32,pupa int,
347,M1,16,5,347.M1.16.5,5/14,,5/27,13,9.1,,6/2,19,41.2,,6/13,30,158.5,N,,,,,,,6/13,30,pupa int,
348,3,21,5,348.3.21.5,5/15,,5/27,12,7.1,,6/1,17,39.5,,6/10,26,183.1,N,,,,,,,6/10,26,pupa int,
349,3,21,5,349.3.21.5,5/15,,5/27,12,8.3,,6/1,17,49,,6/9,25,216.9,N,,,,,,,6/9,25,pupa int,
352,M1,16,5,352.M1.16.5,5/14,,5/28,14,9,,6/5,22,41.5,,6/17,34,195.9,N,,,,,,,6/17,34,pupa int,
353,8,16,5,353.8.16.5,5/12,,5/28,16,12.2,,6/3,22,36.3,,6/15,34,212.5,N,,,,,,,6/15,34,pupa int,
354,8,16,5,354.8.16.5,5/12,,5/28,16,12,,6/3,22,51.5,,6/13,32,256.3,N,,,,,,,6/13,32,pupa int,
355,M1,16,5,355.M1.16.5,5/13,,5/28,15,8.7,,6/5,23,31.3,,6/20,38,221.5,N,,,,,,,6/20,38,pupa int,
357,15,16,5,357.15.16.5,5/12,,5/28,16,7.1,,6/4,23,34.4,,6/15,34,210.4,N,,,,,,,6/15,34,pupa int,
359,3,16,5,359.3.16.5,5/12,,5/28,16,9.6,,6/4,23,40.9,,6/23,42,174,N,,,,,,,6/23,42,pupa int,
360,3,16,5,360.3.16.5,5/12,,5/28,16,7.9,,6/5,24,41.2,,6/19,38,225.3,N,,,,,,,6/19,38,pupa int,
361,M1,16,5,361.M1.16.5,5/14,,5/28,14,7.1,,6/5,22,33.7,,6/19,36,166.9,N,,,,,,,6/19,36,pupa int,
363,8,16,5,363.8.16.5,5/11,,5/29,18,7.5,,6/6,26,33,,6/18,38,198.6,N,,,,,,,6/18,38,pupa int,
364,M1,16,5,364.M1.16.5,5/13,,5/29,16,10.1,,6/5,23,41.2,,6/18,36,224.5,N,,,,,,,6/18,36,pupa int,
366,15,16,5,366.15.16.5,5/13,,5/29,16,7.9,,6/6,24,40.8,,6/19,37,215.8,N,,,,,,,6/19,37,pupa int,
367,8,16,5,367.8.16.5,5/12,,5/30,18,12.1,,6/5,24,37.2,,6/16,35,220.7,N,,,,,,,6/16,35,pupa int,
368,8,16,5,368.8.16.5,5/12,,5/30,18,9.6,,6/7,26,37.7,,6/19,38,237.6,N,,,,,,,6/19,38,pupa int,
369,15,16,5,369.15.16.5,5/12,,5/31,19,8.3,,6/7,26,38.7,,6/18,37,239.3,N,,,,,,,6/18,37,pupa int,
371,3,16,5,371.3.16.5,5/14,,5/31,17,8.3,,6/7,24,36.8,,6/21,38,234.7,N,,,,,,,6/21,38,pupa int,
372,3,16,5,372.3.16.5,5/14,,5/31,17,11,,6/6,23,45.1,,6/19,36,275,N,,,,,,,6/19,36,pupa int,
373,15,16,5,373.15.16.5,5/12,,5/31,19,12.3,,6/6,25,39.8,,6/18,37,188.5,N,,,,,,,6/18,37,pupa int,
375,M1,16,5,375.M1.16.5,5/14,,5/31,17,10.4,,6/6,23,31.6,,6/18,35,202.1,N,,,,,,,6/18,35,pupa int,
376,3,16,5,376.3.16.5,5/15,,5/31,16,9.5,,6/7,23,44,,6/19,35,261.2,N,,,,,,,6/19,35,pupa int,
382,M1,16,5,382.M1.16.5,5/14,,6/1,18,7,,6/9,26,31.5,,6/23,40,188.8,N,,,,,,,6/23,40,pupa int,
385,3,16,5,385.3.16.5,5/15,,6/4,20,8.7,,6/12,28,34.5,,6/25,41,205.2,N,,,,,,,6/25,41,pupa int,
70,15,30,5,70.15.30.5,5/9,,5/14,5,18.1,,5/16,7,54.7,,5/19,10,174.9,Y,,,,,,,5/30,21,pupa,
73,8,30,5,73.8.30.5,5/9,,5/14,5,27.7,,5/15,6,45.2,,5/19,10,234.7,Y,,,,,,,5/29,20,pupa,
75,8,30,5,75.8.30.5,5/9,,5/14,5,18.6,,5/16,7,96.2,,5/19,10,178.9,Y,,,,,,,5/30,21,pupa,
88,8,26,5,88.8.26.5,5/9,,5/14,5,8.7,,5/16,7,34.1,,5/21,12,226.28,Y,,,,,,,5/29,20,pupa,
93,8,26,5,93.8.26.5,5/9,,5/15,6,13.5,,5/17,8,49.3,,5/21,12,157.1,Y,,,,,,,5/31,22,pupa,
100,24,30,5,100.24.30.5,5/10,,5/15,5,14.3,,5/17,7,74.7,,5/20,10,201.1,Y,,,,,,,5/29,19,pupa,
101,24,30,5,101.24.30.5,5/10,,5/15,5,7.6,,5/17,7,45.2,,5/20,10,167.1,Y,,,,,,,6/11,32,pupa,
102,24,30,5,102.24.30.5,5/10,,5/15,5,10.5,,5/17,7,63.1,,5/20,10,193.7,Y,,,,,,,5/30,20,pupa,
111,15,30,5,111.15.30.5,5/9,,5/15,6,14.5,,5/17,8,63.8,,5/20,11,177.8,Y,,,,,,,5/29,20,pupa,spent 5/13 in 26 chamber
129,24,26,5,129.24.26.5,5/10,,5/16,6,11.4,,5/18,8,63.2,,5/21,11,164.8,Y,,,,,,,5/29,19,pupa,
132,8,26,5,132.8.26.5,5/10,,5/16,6,21.8,,5/18,8,96.2,,5/21,11,234.02,Y,,,,,,,5/29,19,pupa,
153,24,26,5,153.24.26.5,5/10,,5/17,7,13.9,,5/19,9,68.8,,5/22,12,195.1,Y,,,,,,,5/29,19,pupa,
154,M1,26,5,154.M1.26.5,5/11,,5/17,6,8.4,,5/19,8,45.7,,5/22,11,163.3,Y,,,,,,,5/29,18,pupa,
156,8,26,5,156.8.26.5,5/11,,5/17,6,14.3,,5/19,8,67.8,,5/22,11,181.6,Y,,,,,,,5/30,19,pupa,
160,8,26,5,160.8.26.5,5/11,,5/17,6,12.3,,5/19,8,51.9,,5/22,11,195.9,Y,,,,,,,5/30,19,pupa,
164,12,34,5,164.12.34.5,5/11,,5/17,6,11.2,,5/20,9,44.5,,5/25,14,124.6,Y,,,,,,,6/5,25,pupa,
166,12,34,5,166.12.34.5,5/10,,5/17,7,9.2,,5/20,10,40.4,,5/25,15,112.1,Y,,,,,,,6/1,22,pupa,
167,15,34,5,167.15.34.5,5/11,,5/17,6,5.9,,5/20,9,37.3,,5/25,14,105.2,Y,,,,,,,6/8,28,pupa,
176,3,30,5,176.3.30.5,5/11,,5/17,6,26.4,,5/19,8,132.3,,5/22,11,242.8,Y,,,,,,,5/30,19,pupa,Spent 5/13 in 26 chamber
184,M1,30,5,184.M1.30.5,5/13,,5/18,5,12.5,,5/20,7,54.8,,5/24,11,182.9,Y,,,,,,,6/5,23,pupa,
195,8,21,5,195.8.21.5,5/9,,5/18,9,11.4,,5/21,12,37.9,,5/29,20,177.6,Y,,,,,,,6/7,29,pupa,
196,8,21,5,196.8.21.5,5/9,,5/18,9,11.1,,5/21,12,38.9,,5/29,20,174.8,Y,,,,,,,6/7,29,pupa,
199,15,34,5,199.15.34.5,5/11,,5/18,7,12.4,,5/20,9,44.4,,5/26,15,142.7,Y,,,,,,,6/10,30,pupa,
201,12,34,5,201.12.34.5,5/11,,5/18,7,17.7,,5/20,9,47.4,,5/25,14,138.4,Y,,,,,,,6/10,30,pupa,
211,12,34,5,211.12.34.5,5/14,,5/19,5,8.7,,5/22,8,35.68,,5/27,13,129,Y,,,,,,,6/5,22,pupa,
212,3,34,5,212.3.34.5,5/11,,5/19,8,14.3,,5/22,11,46.61,,5/27,16,142.8,Y,,,,,,,6/9,29,pupa,
219,12,30,5,219.12.30.5,5/14,,5/19,5,7.8,,5/21,7,40.3,,5/26,12,199.9,Y,,,,,,,6/5,22,pupa,
220,12,30,5,220.12.30.5,5/14,,5/19,5,11.6,,5/21,7,37.1,,5/26,12,166.4,Y,,,,,,,6/5,22,pupa,
223,M1,30,5,223.M1.30.5,5/13,,5/19,6,8.8,,5/21,8,60.9,,5/24,11,176.9,Y,,,,,,,6/5,23,pupa,
228,M1,30,5,228.M1.30.5,5/14,,5/19,5,14.2,,5/21,7,70.3,,5/24,10,146.3,Y,,,,,,,5/30,16,pupa,
229,M1,30,5,229.M1.30.5,5/14,,5/19,5,25,,5/20,6,51.3,,5/23,9,165.5,Y,,,,,,,6/1,18,pupa,
231,8,21,5,231.8.21.5,5/9,,5/19,10,12.9,,5/22,13,37.5,,5/30,21,170.3,Y,,,,,,,6/5,27,pupa,
234,M1,30,5,234.M1.30.5,5/14,,5/20,6,10.6,,5/22,8,54.34,,5/26,12,176.1,Y,,,,,,,6/5,22,pupa,
237,12,30,5,237.12.30.5,5/14,,5/20,6,14.3,,5/22,8,47.52,,5/27,13,195.2,Y,,,,,,,6/11,28,pupa,
238,12,30,5,238.12.30.5,5/14,,5/20,6,10.1,,5/22,8,46.07,,5/27,13,184.9,Y,,,,,,,6/5,22,pupa,
241,M1,30,5,241.M1.30.5,5/14,,5/20,6,18.8,,5/22,8,78.95,,5/25,11,180.7,Y,,,,,,,6/5,22,pupa,
242,M1,30,5,242.M1.30.5,5/14,,5/20,6,16.1,,5/22,8,48,,5/26,12,154.7,Y,,,,,,,6/5,22,pupa,
243,M1,30,5,243.M1.30.5,5/14,,5/20,6,16.4,,5/22,8,73.9,,5/26,12,190.9,Y,,,,,,,6/5,22,pupa,
244,M1,30,5,244.M1.30.5,5/14,,5/20,6,13.9,,5/22,8,52.81,,5/26,12,179.2,Y,,,,,,,6/5,22,pupa,
248,12,34,5,248.12.34.5,5/14,,5/20,6,13.9,,5/24,10,54.6,,5/28,14,125.8,Y,,,,,,,6/5,22,pupa,
249,12,34,5,249.12.34.5,5/14,,5/20,6,16.6,,5/23,9,44,,5/28,14,113.5,Y,,,,,,,6/8,25,pupa,
250,12,34,5,250.12.34.5,5/14,,5/20,6,15.4,,5/22,8,33.4,,5/27,13,106.3,Y,,,,,,,6/4,21,pupa,
262,3,34,5,262.3.34.5,5/14,,5/21,7,10.1,,5/24,10,57.1,,5/28,14,167.1,Y,,,,,,,6/8,25,pupa,
263,3,34,5,263.3.34.5,5/14,,5/21,7,12.9,,5/23,9,39.8,,5/28,14,144.3,Y,,,,,,,6/5,22,pupa,
264,M1,34,5,264.M1.34.5,5/14,,5/21,7,14.9,,5/24,10,53,,5/28,14,147.8,Y,,,,,,,6/8,25,pupa,
288,M2,26,5,288.M2.26.5,5/14,,,,,,5/22,8,52.59,,5/26,12,172.8,Y,,,,,,,6/2,19,pupa,Missed 4th?
301,m1,21,5,301.m1.21.5,5/14,,5/22,8,5.5,,5/26,12,31.7,,6/2,19,160.6,Y,,,,,,,7/2,,pupa,
379,3,16,5,379.3.16.5,5/15,,6/1,17,6.9,,6/9,25,53.8,,6/22,38,211.6,Y,,,,,,,7/3,49,pupa,
71,15,30,5,71.15.30.5,5/9,,5/14,5,22,,5/16,7,100.2,,5/19,10,202.8,Y,,5/26,17,Y,F,88.2,,,adult,
72,15,30,5,72.15.30.5,5/9,,5/14,5,12.9,,5/16,7,56.3,,5/20,11,246.5,Y,,5/27,18,Y,M,124.4,,,adult,
74,8,30,5,74.8.30.5,5/9,,5/14,5,15.5,,5/16,7,89.9,,5/19,10,182.9,Y,,5/25,16,N,M,78.6,,,adult,Deformed adult
76,15,30,5,76.15.30.5,5/9,,5/14,5,11.8,,5/16,7,49.2,,5/19,10,175.4,Y,,5/25,16,Y,F,79.6,,,adult,
78,8,30,5,78.8.30.5,5/9,,5/14,5,8.7,,5/16,7,47.2,,5/20,11,196.6,Y,,5/27,18,N,F,107.8,,,adult,deformed adult
79,8,30,5,79.8.30.5,5/9,,5/14,5,12.2,,5/16,7,44.9,,5/20,11,209.6,Y,,5/27,18,Y,M,104.5,,,adult,
89,15,26,5,89.15.26.5,5/9,,5/14,5,8,,5/16,7,38.4,,5/21,12,202.3,Y,,5/27,18,Y,F,138.3,,,adult,
90,8,26,5,90.8.26.5,5/9,,5/15,6,9.1,,5/17,8,43.9,,5/21,12,215.4,Y,,5/28,19,Y,M,99.8,,,adult,
92,8,26,5,92.8.26.5,5/9,,5/15,6,14.8,,5/17,8,66.5,,5/21,12,205.41,Y,,5/27,18,Y,M,106.7,,,adult,
95,15,26,5,95.15.26.5,5/9,,5/15,6,20.1,,5/17,8,68.5,,5/21,12,214,Y,,5/27,18,Y,M,98.2,,,adult,
96,15,26,5,96.15.26.5,5/9,,5/15,6,10.5,,5/17,8,42.8,,5/21,12,218.9,Y,,5/28,19,Y,F,105.8,,,adult,
