MRID,Trt,Date.Hatch,Date.4th,Mass.4th,Date.5th,Mass.5th,Pupa,Cup,Mass.Pupa,Date.INT,Mass.INT,Date.Dead,Instar.Dead,Date.eclose,Mass.adult,Sex,DaysHtoP,DaysPtoE,Notes
3,16,12/2/2022,12/12/2022,132.63,12/13/2022,177.04,12/14/2022,12/16/2022,164.65,,,,,12/30/2022,84.61,M,12,16,
7,16,12/2/2022,12/12/2022,123.64,12/14/2022,187.41,12/15/2022,12/17/2022,175.32,,,12/29/22,A,12/29/2022,50.02,F,13,,died after eclosion
12,16,12/2/2022,12/12/2022,122.03,12/14/2022,188.76,12/15/2022,12/17/2022,177.38,,,,,1/2/2023,63.82,M,13,18,
14,16,12/2/2022,12/12/2022,155.42,12/14/2022,188.3,12/15/2022,12/17/2022,179.88,,,,,12/28/2022,118.88,F,13,13,
15,16,12/2/2022,12/12/2022,136.21,12/13/2022,163.1,12/14/2022,12/16/2022,148,,,,,12/29/2022,83.11,M,12,15,
20,16,12/2/2022,12/12/2022,141.68,12/13/2022,155.23,12/14/2022,12/16/2022,145.27,,,,,12/28/2022,58.32,F,12,14,
26,16,12/2/2022,12/12/2022,81.74,12/14/2022,130.71,12/15/2022,12/17/2022,161.66,,,,,12/30/2022,111.17,F,13,15,
29,16,12/2/2022,12/11/2022,115.34,12/12/2022,144.61,12/13/2022,12/15/2022,138.28,,,,,12/28/2022,87.28,M,11,15,
41,16,12/2/2022,12/11/2022,134.12,12/12/2022,151.64,12/13/2022,12/15/2022,144.5,,,,,12/28/2022,66.78,F,11,15,
49,16,12/2/2022,12/12/2022,120.77,12/13/2022,142.79,12/14/2022,12/16/2022,78.75,,,12/29/22,P,,,,12,,died as pupa
50,16,12/2/2022,12/12/2022,116.33,12/14/2022,152.22,12/15/2022,12/17/2022,162.12,,,,,12/29/2022,145.89,F,13,14,
57,16,12/2/2022,12/13/2022,51.67,12/15/2022,151.8,12/17/2022,12/19/2022,158.5,,,,,1/2/2023,70.41,F,15,16,
64,16,12/2/2022,12/13/2022,136.91,12/15/2022,217.09,12/17/2022,12/19/2022,202.64,,,1/2/23,P,,,,15,,died as pupa
4,21,12/2/2022,12/12/2022,81.44,12/14/2022,124.54,12/15/2022,12/17/2022,184.19,,,12/24/22,P,,,,13,,died trying to eclose
6,21,12/2/2022,12/12/2022,133.44,12/13/2022,164.68,12/14/2022,12/16/2022,152.26,,,12/23/22,P,,,,12,,died trying to eclose
16,21,12/2/2022,12/12/2022,182.42,12/13/2022,189.86,12/14/2022,12/16/2022,176.65,,,,,12/23/2022,90.66,F,12,9,
22,21,12/2/2022,12/11/2022,162.26,12/12/2022,172.92,12/13/2022,12/15/2022,166.35,,,,,12/22/2022,78.32,F,11,9,
23,21,12/2/2022,12/12/2022,153.85,12/13/2022,173.68,12/14/2022,12/16/2022,166.11,,,,,12/23/2022,84.95,M,12,9,
27,21,12/2/2022,12/12/2022,63.94,12/14/2022,160.85,12/15/2022,12/17/2022,151.82,,,,,12/24/2022,69.2,F,13,9,
33,21,12/2/2022,12/12/2022,56.21,12/14/2022,136.3,12/15/2022,12/17/2022,126.83,,,,,12/23/2022,97.07,F,13,8,
38,21,12/2/2022,12/12/2022,130.45,12/14/2022,197.71,12/15/2022,12/17/2022,186.62,,,,,12/24/2022,93.63,M,13,9,slightly crinkly wings
40,21,12/2/2022,12/12/2022,94.53,12/15/2022,192.78,12/17/2022,12/19/2022,179.63,,,12/24/22,P,,,,15,,died trying to eclose
45,21,12/2/2022,12/11/2022,158.98,12/12/2022,172.95,12/13/2022,12/15/2022,165.42,,,,,12/22/2022,75.17,M,11,9,
51,21,12/2/2022,12/12/2022,171.98,12/13/2022,182.48,12/14/2022,12/16/2022,173.62,,,,,12/23/2022,84.82,F,12,9,
58,21,12/2/2022,12/13/2022,80.24,12/15/2022,162.67,12/17/2022,12/19/2022,148.33,,,,,12/25/2022,71.49,F,15,8,super deformed wings (hard to sex)
66,21,12/2/2022,12/15/2022,72.05,12/17/2022,178.31,12/18/2022,12/20/2022,163.68,,,,,12/27/2022,88.35,M,16,9,
8,26,12/2/2022,12/12/2022,120.52,12/14/2022,204.68,12/15/2022,12/17/2022,192.05,,,,,12/21/2022,112.54,F,13,6,
10,26,12/2/2022,12/12/2022,173.27,12/13/2022,185.23,12/14/2022,12/16/2022,168.51,,,,,12/20/2022,137.87,M,12,6,
17,26,12/2/2022,12/12/2022,179.34,12/13/2022,189.09,12/14/2022,12/16/2022,174.5,,,,,12/20/2022,86.37,M,12,6,
24,26,12/2/2022,12/12/2022,144.34,12/14/2022,247.5,12/15/2022,12/17/2022,228.25,,,,,12/22/2022,101.84,M,13,7,
25,26,12/2/2022,12/12/2022,149.55,12/13/2022,155.38,12/14/2022,12/16/2022,136.11,,,,,12/21/2022,69.05,F,12,7,
30,26,12/2/2022,12/11/2022,131.28,12/12/2022,149.17,12/13/2022,12/15/2022,138.67,,,12/22/22,P,,55.91,F,11,,died trying to eclose
37,26,12/2/2022,12/12/2022,145.73,12/14/2022,197.24,12/15/2022,12/17/2022,181.47,,,,,12/21/2022,88.33,F,13,6,deformed
39,26,12/2/2022,12/12/2022,122.75,12/14/2022,162.14,12/15/2022,12/17/2022,150.77,,,,,12/22/2022,67.95,F,13,7,
44,26,12/2/2022,12/11/2022,159.35,12/12/2022,170.71,12/13/2022,12/15/2022,162.35,,,,,12/19/2022,78.45,F,11,6,
47,26,12/2/2022,12/12/2022,151.96,12/13/2022,172.89,12/15/2022,12/17/2022,160.68,,,,,12/20/2022,98.35,M,13,5,
54,26,12/2/2022,12/13/2022,77.94,12/15/2022,162.73,12/17/2022,12/19/2022,150.34,,,,,12/23/2022,100.55,M,15,6,
61,26,12/2/2022,12/13/2022,52.27,12/15/2022,122.69,12/17/2022,12/19/2022,120.41,,,12/24/22,P,,,,15,,died while eclosing
67,26,12/2/2022,12/15/2022,127.45,12/17/2022,246.83,12/18/2022,12/20/2022,224.81,,,,,12/25/2022,111.67,M,16,7,
2,30,12/2/2022,12/12/2022,90.21,12/14/2022,189.5,12/15/2022,12/17/2022,174.99,,,,,12/21/2022,88.4,F,13,6,
11,30,12/2/2022,12/12/2022,171.78,12/13/2022,185.42,12/14/2022,12/16/2022,161.97,,,,,12/20/2022,78.65,F,12,6,
18,30,12/2/2022,12/12/2022,181.57,12/13/2022,188.52,12/14/2022,12/16/2022,166.05,,,,,12/20/2022,80.19,M,12,6,
21,30,12/2/2022,12/12/2022,97.23,12/14/2022,189.16,12/15/2022,12/17/2022,171.62,,,,,12/21/2022,110.54,M,13,6,
31,30,12/2/2022,12/11/2022,137.16,12/12/2022,154.4,12/13/2022,12/15/2022,149.21,,,,,12/20/2022,71.27,M,11,7,
32,30,12/2/2022,12/12/2022,71.52,12/14/2022,192.99,12/15/2022,12/17/2022,173.32,,,,,12/21/2022,86.19,M,13,6,
43,30,12/2/2022,12/11/2022,148.72,12/12/2022,163.82,12/13/2022,12/15/2022,153.51,,,,,12/19/2022,65.63,M,11,6,
46,30,12/2/2022,12/12/2022,183.14,12/14/2022,256.05,12/15/2022,12/17/2022,205.55,,,12/22/22,P,,,,13,,died as pupa
48,30,12/2/2022,12/12/2022,157.54,12/13/2022,173.24,12/14/2022,12/16/2022,156.48,,,,,12/20/2022,71.02,M,12,6,
53,30,12/2/2022,12/12/2022,58.66,12/14/2022,98.11,12/15/2022,12/17/2022,128.94,,,,,12/21/2022,61,M,13,6,
55,30,12/2/2022,12/13/2022,100.2,12/15/2022,169.68,12/17/2022,12/19/2022,149.68,,,,,12/22/2022,69.95,F,15,5,
62,30,12/2/2022,12/13/2022,151.93,12/15/2022,235.32,12/17/2022,12/19/2022,213.41,,,,,12/22/2022,122.15,F,15,5,
68,30,12/2/2022,12/15/2022,111.37,12/17/2022,162.11,12/18/2022,12/20/2022,124.97,,,,,12/23/2022,74.98,F,16,5,
1,34,12/2/2022,12/12/2022,172.82,12/13/2022,188.16,12/14/2022,12/16/2022,172.48,,,12/22/22,P,,,,12,,Dead as pupa
5,34,12/2/2022,12/12/2022,57.75,12/14/2022,175.89,12/15/2022,12/17/2022,146.19,,,12/22/22,P,,,,13,,Died as pupa
9,34,12/2/2022,12/12/2022,98.77,12/14/2022,184.94,12/15/2022,12/17/2022,165.08,,,12/28/2022,P,,,,13,,died as pupa
13,34,12/2/2022,12/12/2022,129.36,12/13/2022,137.61,12/14/2022,12/16/2022,123.48,,,,,12/23/2022,72.89,F,12,9,didnt eclose properly
19,34,12/2/2022,12/12/2022,120.17,12/13/2022,133.32,12/14/2022,12/16/2022,120.84,,,,,12/22/2022,67.03,F,12,8,
28,34,12/2/2022,12/12/2022,80.82,12/14/2022,201.82,12/15/2022,12/17/2022,180.59,,,12/23/22,P,,,,13,,died as pupa
34,34,12/2/2022,12/12/2022,60.51,12/14/2022,140.22,12/15/2022,12/17/2022,151.93,,,12/28/22,P,,,,13,,died as pupa
42,34,12/2/2022,12/11/2022,152.28,12/12/2022,160.58,12/13/2022,12/15/2022,153.1,,,,,12/20/2022,87.29,F,11,7,
52,34,12/2/2022,12/12/2022,91.9,12/14/2022,213.92,12/15/2022,12/17/2022,187.97,,,12/23/22,P,,,,13,,died as pupa
56,34,12/2/2022,12/13/2022,111.56,12/15/2022,205.81,12/17/2022,12/19/2022,188.4,,,12/24/22,P,,,,15,,died while eclosing
60,34,12/2/2022,12/13/2022,154.03,12/14/2022,177.6,12/15/2022,12/17/2022,155.23,,,12/24/22,P,,,,13,,died while eclosing
63,34,12/2/2022,12/13/2022,83.19,12/15/2022,175.52,12/17/2022,12/19/2022,151.5,,,12/24/22,P,,,,15,,died while eclosing
65,34,12/2/2022,12/15/2022,132.52,12/17/2022,183.29,12/18/2022,12/20/2022,109.69,,,12/23/22,P,,,,16,,died as pupa
35,,12/2/2022,12/12/2022,200.72,12/13/2022,170.09,,,,12/15,155.74,,,,,,,,
36,,12/2/2022,12/12/2022,151.18,,,,,,12/15,87.03,12/15,,,,,,,
59,,12/2/2022,12/13/2022,133.76,12/15/2022,159.71,,,,12/17/22,148.89,,,, ,,,,